What is your gender?,Which category below includes your age?,What is the job title for your current position?,For which place do you have the strongest emotions?,How strong are these emotions?,What kind of feelings do you have for this place?,Why did you choose that place?,Is it where you lived as a child?,Are you proud of it?,Do you still live there?,Do you often find yourself telling other people about the place?,How does it make you feel when you talk about that place?,Is it important to you that others know about that place?,How much do you care other people's feeling about that place?,Do you often look at photos of that place?,Do you often collect things to do with that place?,Do you / did you take a lot of photos of that place?,Do you often wonder the history of that place?,Do you often research the history of that place?,Is there an area or landmark in that place that strongly represents it to you? What is it?,Is it a famous tourist attraction?,Why did you choose that area or landmark?,"When you thought of that area or that place, when images appeared in your mind, what's the weather and the season? Is it day or night? Is the image vivid or fuzzy? How many images appeared in your mind?",Are you part of an active community group in that place?,"If there is one or more active community groups, what are their main activities?",Do you think people in the community care about preserving the history of the place?,"Boo, how much is 3+5? We're nearly finished, we really care about your answers.",Have you ever thought about ways to record or share your feelings for that place?,In what ways do you currently record or share your feelings for that place?,"Imagine the most beautiful way to convey the feelings and experience of that place using an online website, what things would the website need to do or have?"
Female,21-29,optometry intern,Wisconsin,Very strong,"longing, happiness, togetherness, fun",it's where my family and friends are and where I feel like I belong,Yes,Quite a bit,No,Yes,"Proud, happy",Fairly important,Quite a bit,Yes,No,Yes,No,No,water tower,No,It's near my house and reminds me of home,"sunny and bright, daytime, vivid image. A few images of my family and home came to me.",Occasional member,volunteering,Quite a bit,8,Yes,I write down memories and have a lot of photos,"pictures, descriptions, details"
Female,21-29,computer service,I saw unhelped people,Very strong,I angry and very suffered.,My life i had  to face lot of unhelped people,No,Not really,Yes,Sometimes,i very suffering i do not talk that time,Occasionally,Quite a bit,No,Yes,Yes,No,No,no,Yes,future reference,when i do not make that i say and i like beautiful image in mind,Not a member,,Not really,8,Yes,Helping people,helping tendency servicing website
Female,40-49,Editor,Rio de Janero,Very strong,Fun and excitement.,It's my favorite place to go to.,No,A lot,No,Yes,Estatic.,Very important,Quite a bit,Yes,Yes,Yes,Yes,Yes,Angra Island,Yes,Because it's beautiful.,Many vivid  images. It's sunny and daytime. Perfect weather.,Not a member,Soccer,A lot,8,Yes,Show photos and video.,A commercial and a slide show.
Female,50-59,self employed,Vermont,Fairly strong,"I live here and I love it, the nature, the solitude, the people - it feels like home.",I just like it.,No,Quite a bit,Yes,Yes,"proud, happy",Occasionally,Not really,Sometimes,No,No,Sometimes,Sometimes,no,Yes,no special area,no special place,Not a member,,Quite a bit,8,No,talking to others,"pictures, video, essays, conversations with people."
Male,40-49,Research,India,Very strong,Patriotic feelings,It's my hometown,Yes,A lot,Yes,Yes,I feel very happy,Very important,A lot,Yes,Yes,Yes,Yes,Yes,Gateway of india,Yes,I like it,Many clear images appears in my mind about that place.,Active member,Protection,A lot,8,Yes,Through facebook,The website need to have the history of that place and many images which are clear
Female,30-39,Auditor,Alabama,Very strong,Strong ties with deep sense of home filled with great memories and some sad.  It will always be home to me.,It is where I grew up and have lived all of my life.  Some of the best times I have ever had were here.,Yes,A lot,Yes,Yes,Proud and nostalgic.  I love talking about my childhood and all the fun we had.,Very important,Quite a bit,Yes,Sometimes,Yes,Sometimes,Sometimes,"Yes, a set of lakes that everyone for miles around know about.  They belong to my family and everyone used to come to them.",No,It is very dear to my heart.,It is a warm sunny day.  I picture me and my friends walking to the lakes to enjoy a day of swimming and playing.,Not a member,No communtiy groups in the area.,Quite a bit,8,No,Pictures and memories.,It would need to have pictures and narratives. It would also need to have testimonials from other people.
Female,21-29,Teacher,Ottawa,Very strong,Nostalgia and feelings of welcoming and warmth.,"Because it's where I grew up, and I miss it. It's a beautiful city.",Yes,A lot,No,Yes,It makes me feel at ease because it's the place I feel most at home.,Very important,Quite a bit,Sometimes,No,Sometimes,Yes,Sometimes,Parliament Hill,Yes,"Because it's beautiful, and I used to spend my days off work walking around it, looking out over the river.","It was day time, and it was a clear day with a blue sky. It was a very clear image.",Not a member,,A lot,8,No,"I participate in online communities about it, even if I don't currently live there.",It would need to contain a lot of pictures of the scenery and beautiful buildings of the city.
Female,21-29,Accountant,"Munnar, Kerala",Fairly strong,I feel very attractive for relaxation of life,I like that place very munch and good climate,No,Not really,No,Sometimes,I feel very talkative,Fairly important,Quite a bit,Yes,Sometimes,Yes,No,No,No such landmark,Yes,It is liked by me very much,"Day, vivid, a lo of images",Not a member,,Quite a bit,8,Yes,By expressing the reality about that place.,Photos
Female,21-29,homemaker,las vegas,Very strong,I think about when I go married there and it makes me very happy,Because it signifies a significant event in my life,No,Not really,No,Yes,"Very happy, especially because a lot of my family and friends have never been",Fairly important,Not really,Yes,Yes,Yes,Yes,Sometimes,The Luxor Hotel,Yes,That is where I got married and stayed during my wedding week,It is sunny and very very hot,Not a member,,A lot,8,No,By telling family and friends about it,I would have lots of pictures and post stories about people and what they did while visiting
Male,21-29,Computer operator,office,Average,I have Strictly face for our office.,"Because, work doing all correctly.",Yes,Quite a bit,Yes,Yes,Lot,Occasionally,Not really,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,opposite park,Yes,its famous for this area,That's very busy area. weather is mostly hot. night only average heat,Occasional member,christianity. saying jesus come back,Quite a bit,8,Sometimes,Mobile and net.,facebook
Female,21-29,Event planning,Home,Average,Security and pride,Its the biggest accomplishment so far,No,A lot,Yes,Yes,Happy,Occasionally,Not really,Sometimes,No,No,Yes,No,No,No,N/a,Always changing-4 seasons,Not a member,No,Quite a bit,8,No,I don't,None
Male,50-59,Water Treatment Operations Foreman,Rhinlander Ave,Fairly strong,Childhood memories,Grew up there as a kid.,Yes,Quite a bit,No,No,good,Not important,Not really,No,No,No,No,No,N/A,No,Where I grew up,"vivid, daytime",Not a member,N/A,Not really,8,No,N/A,Upload Photos
Male,21-29,seo,Aleutian Islands,Very strong,i love this place and i would like to visit this place,because my family love this place,Yes,Quite a bit,Yes,Yes,when i visit that place i love to stay there for long time,Very important,A lot,Yes,Yes,Yes,Yes,Yes,Alaska,No,because its very romantic place,i imagine to live there,Occasional member,,Quite a bit,8,Yes,its very comfortable place to me,i would like to visit on their website
Male,21-29,PTA,Home,Very strong,"Comfort and safety, relaxed","It's my ""happy place"", the place where I chose to spend the majority of my time",No,A lot,Yes,Sometimes,Accomplished,Occasionally,Not really,No,No,No,No,No,"The man cave room, where my movies and games and comfortable chair are",No,It's my own personal space within my home,"Vivid image of bright sunny day with sun coming through the windows, one image",Active member,,Not really,8,No,"I take pictures of the dog in the home, and I talk to people about decorating, etc","Lots of pictures, maybe a link to show the places where we bought furniture or decorative items"
Female,50-59,engineer,home,Very strong,happiness and comfort,it is my favorite place,No,Quite a bit,Yes,,,,,,,,,,,,,,,,,,,,
Female,50-59,engineer,home,Very strong,happiness and comfort,it is my favorite place,No,Quite a bit,Yes,Yes,happy,Not important,No,No,No,Yes,No,No,no,No,close to my place of work,"I think of all the rooms, mostly day, the images are very vivid.  There is a lot of images in my head, many for each room.",Not a member,none,No,8,Yes,I have a lot of pictures,I would consider this information private and not want to display it in a public website.
Female,30-39,Anxiety Therapist,Home I grew up in,Very strong,"Warm, safe, bright",Came to mind immediately when I read the question,Yes,A lot,No,Sometimes,"Warm,  comforted -  like I felt when I lived there",Occasionally,Quite a bit,Sometimes,Sometimes,Yes,No,No,My house,No,It's the main thing I think of,"Summer,  bright sunny day ; Clear image; 1",Not a member,n/a,Quite a bit,8,Sometimes,Sharing photos online,"Be able to accept uploaded photos (perhaps also having the ability to alter photos to black &  white or more nostalgic look), be set up for social sharing"
Female,30-39,Certified Nursing Assistant,Disney World,Very strong,"energy, excitement, anticipation, joy, happiness","I never thought I would be able to take my daughter there, but I finally was able to.",No,Quite a bit,No,Yes,"happy, sad",Fairly important,Not really,Sometimes,Sometimes,Yes,Sometimes,No,Cinderella's Castle,Yes,That was what my daughter was most excited to see.,"Vivid image of us standing in the front, during a nice sunny day in the summer.  We stand a distance away so we can see the entire castle and don't have to tilt our heads up to see the very top.",Not a member,I don't know,Quite a bit,8,Yes,Look at pictures and talk about memories.,"Show it from a child's point of view.  Fun things to do, places to see, people you can meet.  Have a camera walking around as if you were really there."
Male,21-29,Business,Hills,Fairly strong,"I feel good when i trip to hill stations in my bike, i like the chillness and the atmosphere, i feel easy when i was there","Its a natural place so i like to go there always, very peaceful and natural life over there",No,A lot,No,Yes,Automatically i feel very proud when i talk about that place,Very important,Quite a bit,Yes,Yes,Yes,Yes,No,"OOTY, VIEW POINT",Yes,"we can see the place from there very clearly, we can able to stand in middle of the mist",Its an chill climate with lots of mist  Its an Evening time  Its a fuzzy image  lot of pictures,Not a member,,Quite a bit,8,Yes,"Ill share those things with my friends, occasionally ill take my friends and family members to there","Ill put the clear images of that place, and ill write an article about that place and tourism area with suitable photographs, with boarding and lodging addresses"
Female,60 or older,tutor,florida,Very strong,familial and familiarity and good times,my grandsons are there,No,Quite a bit,No,No,nostalgic and homesick,Not important,Not really,No,No,Yes,Yes,Yes,the beach,Yes,because i spent a lot of time there,it's a warm summer day and the ocean breeze is soothing - my image is extremely vivid - i can see the whole beach as it stretches for miles,Not a member,n/a,A lot,8,No,not much,"soft colors, soft music, good art"
Female,30-39,HOME MAKER,UAE,Very strong,I HAVE A NOSTALGIC FEELING,BECAUSE I WAS BORN THERE,Yes,A lot,No,Yes,I FEEL PROUD AND HONORED.,Very important,A lot,Yes,Yes,Yes,Yes,No,KONISH PARK,Yes,BECAUSE MOST OF THE EVENINGS I SPENT THERE,"IT WAS VERY HOT DURING THE DAY AND COLD DURING THE NIGHT.I HAVE VERY CLEAR IMAGES OF THOSE DAYS,IT WAS LOTS OF FUN AND ENTERTAINMENT",Not a member,DO NOT KNOW,A lot,8,No,I RECOMMEND EVERYONE TO VISIT THE PLACE ATLEAST ONCE,IT SHOULD USE VIDEO CLIPS OF THAT PLACE
Male,30-39,Manager,Thanjavur,Fairly strong,Relationship emotions,its my home town,Yes,A lot,Yes,Yes,I cant explain i feel like heaven,Fairly important,Quite a bit,Yes,Yes,Yes,Yes,Yes,Big temple,Yes,If u tell thanjavur every one ask about big temple,I never even think about the images appear in my mind but when ever think  about my place  it was awesome,Occasional member,Helping helpless peoples,Quite a bit,8,Yes,Most of the people called its one of the best temple city,The most beauty about the place its a historical place
Male,30-39,Technician,New York,Fairly strong,"Love, pride and happiness.",Its my hometown and I feel it is the best place because it has a little of everything.,Yes,A lot,Yes,Sometimes,Extremely prideful and nostalgic.,Not important,Not really,Sometimes,No,Sometimes,Sometimes,Yes,Statue of Liberty,Yes,It represents myself and my country is about which is Freedom.,Summer time at night looking at the beautiful sky line.,Not a member,,Quite a bit,8,No,I explain what it was like growing up there to outsiders.,"Show the architecture, landmarks and energy of the city."
Male,30-39,Electrical Engineer,Cuddalore,Fairly strong,The feeling is based on the nativity.,Because i have my own land in that place.,Yes,A lot,Yes,Sometimes,"it feels me very happy, proud and excited when i talk about it.",Occasionally,Not really,Yes,Yes,Yes,No,No,Mahatma Gandhi Medical College and Hospital,No,Because it is the famous one near that area.,Day. The image is vivid. More than 2 images.,Occasional member,,Quite a bit,8,Sometimes,The traditional building and the garden.,The sweet memories which happened to me in my garden will convey a beautiful way to use a online website.
Male,18-20,,Las Vegas,Fairly strong,its my dream to be there and party all night and have fun to the core.,"As I'm a party maniac and love partying with strangers, I have chose that place.",No,Quite a bit,No,Yes,I feel like I'm sharing my dream with them telling about the place.,Occasionally,Not really,Yes,Sometimes,No,Yes,No,"Yes, the hotel MGM Grand where I would live.",Yes,Because it is very much luxurious and its known for its hospitality all over the world.,It was winter and it was was night time with all those boards of casinos lighting out. It was pretty much clear to me. Around 2 images appeared to me.,Not a member,,Not really,8,Yes,I save images of it on my PC and often collect details about it and post it on Facebook.,"It must contain all the landmarks I've been at, I should be able to share my pictures there, It should provide with basic details about the place. My friends should be able to view it."
Female,40-49,Unemployed,Italy,Fairly strong,I have feelings of being free and learning and growing in a new culture.,"Although I was only there for a short time, it is the place that I remember that gave me such a thrill and freedom.",No,Quite a bit,No,Yes,It makes me feel proud to have been out of the country as many people I know have never even been out of their county.,Very important,Quite a bit,Yes,Yes,Yes,Sometimes,Sometimes,The Coliseum,Yes,Because that just says Italy and all the history that started there over 2000 years ago.,"Lots of images come to my mind although it was over ten years ago. It was August and very humid, but comfortable. The images are very vivid. It was just a spectacular place to be when you are alone and single.",Not a member,n/a,A lot,8,Sometimes,"I don't currently record or share my feelings, but do have a journal that I wrote while I was there and I have a box where I keep all the things that I collected while I was there.","I don't really know anything about how to create a website, so I have no idea what a website would need to have."
Female,18-20,Student,Virginia Tech,Fairly strong,"It's my home now, it's where I fell in love with my fiancee and it's the place where I really live life",Because it's the first place where I felt I could truly be myself,No,A lot,Yes,Sometimes,Happy that I go to such a great college that's filled with memories,Fairly important,Not really,No,No,Sometimes,Sometimes,No,Duck Pond,No,Because it's romantic and very relaxing there,"It's usually night when I think about it in my head, and I imagine sitting with my fiancee under the gazebo. It goes back and forth between being winter and spring when I think about it.",Not a member,,Quite a bit,8,No,I just keep the memories of it in my head,"Pictures of it, and a place where people can write down memories of being there"
Female,30-39,writer,hometown: jamesville,Fairly strong,security,where i grew up,Yes,Quite a bit,No,Sometimes,happy,Occasionally,Not really,Sometimes,No,Yes,Sometimes,No,my little league softball field,No,there were happy time for me at that location,summer during the day.  2 or 3,Not a member,na,Not really,8,No,trips home,"images, articles"
Male,30-39,Village Extension Officer,Kerala,Fairly strong,I like this place.  A strong attachment.  Always want to be back whenever I am far away,Homly and good place to live.  Strong family relations and great environment.,Yes,A lot,No,Yes,I am getting proud about the place.,Fairly important,A lot,Yes,Yes,Yes,Yes,Yes,Sri padmanabha swamy temple,Yes,This is the most fortunate temple for me.,Sri padmanabha swamy temple.,Occasional member,Social services,Quite a bit,8,Yes,A Facebook community and a club for meeting all of them,"History of the place, pictures, present state, bookings etc..."
Male,21-29,Membership Specialist,Crawfordsville,Fairly strong,Intensive,This is where I spend most of my time,No,Quite a bit,Yes,Yes,Sadness,Fairly important,Not really,No,No,No,Yes,No,Sugar Creek,Yes,Peaeful,"It is part of a nice day, where I go to think",Not a member,N/A,Not really,8,No,"Microphone, through musi",Music
Male,30-39,systems administrator,my house,Fairly strong,"Comfort, warmth, good memories.",I have lived here for over 10 years.,No,Quite a bit,Yes,Yes,Proud.,Occasionally,Not really,No,Yes,No,Sometimes,No,the basement,No,Had a lot of good parties there.,"Summer, night, good friends, fun.  Vivid.",Not a member,,Not really,8,Sometimes,pictures,pictures
Female,21-29,lecturer,kerala-india,Fairly strong,i feel very much close to nature and home.,it is my native land,No,A lot,No,Sometimes,good.,Occasionally,Not really,Sometimes,No,Yes,No,No,mahe river,Yes,"it is a very beautiful place with lots of flora,river ocean,boathouse and all.","rainy season,sizzling wind,evening time,all vivid images ,more than 8 images.",Not a member,,Quite a bit,8,No,i take photos in put it in a album,"it should have tourist spots available in that area,hostels available to stay,special things available there,,"
Male,21-29,Executive,My Home Town - CHENNAI,Very strong,I feel independent and proud. It is like a heaven for me in this world.,because I born here. Everything good to me was happened in this place.,Yes,A lot,Yes,Yes,It makes me proud when I talked to my friends. I will say the historical areas in my place and since this was the state capital I was feeling like I was a HERO among my group when I talked about the palce.,Fairly important,Quite a bit,Yes,Yes,Yes,Yes,Yes,Marina Beach,Yes,I had so many reasons for choosing the landmark. It was the world's second longest beach. The harbour here is the second longest in INDIA. It is important naval base when British ruled our country.,"The time I like was late evening in the beach. It was summer season. When the whole city was hot, the breeze here is cool and I like to be here until the whole night.",Not a member,"NO, I was not belong to any community.",Not really,8,Yes,I usually use my smartphone to take photos and videos. When I was out with my family I will definitely have a handycam with me.,"Gallery, Interesting Facts about the place, Route Map, Tourist reviews, and more..."
Female,50-59,writer,New York,Fairly strong,"nostalgia, affection, interest, comfort",I was born there and love to visit,Yes,Quite a bit,No,Sometimes,"I like to remember growing up there, it makes me feel good. I enjoy sharing what I do there on vacation and it feels like I'm helping others to think about visiting if they enjoy arts and theater.",Fairly important,Quite a bit,Yes,Sometimes,No,Sometimes,Sometimes,Metropolitan Museum of Art,Yes,I always try to visit while I am there. It is one of the best art museums in the world. I love the way they designate space to read the catalogs at their exhibits. I love visiting Central Park when I take a lunch or snack break.,I think of a spring day. Walking there through Central Park in the early morning when it is pleasantly cool and sunny out. The image is vivid. I picture Fifth Avenue and the traffic and shops. I see the museum entrance and the banners and the central staircase.,Not a member,don't know,Quite a bit,8,Sometimes,"I sometimes write magazine and website articles about New York art shows, I often talk about them","calendar information so people would know about upcoming art shows and theater shows, logistical information so they could plan their trip, links and pictures of the shows, pictures of Central Park"
Male,30-39,EDP Executive,Home and Beach,Fairly strong,Meet some difficult situation,Its nice,No,Quite a bit,Yes,Sometimes,Just told & share emotional movements,Fairly important,Quite a bit,Sometimes,Sometimes,No,Sometimes,No,Nothing,Yes,just identify,anythings,Not a member,nothing,Quite a bit,8,Sometimes,Beach,Social Network sites
Male,21-29,Manager,Tajmahal,Very strong,The beauty of love,Because the place contain very peaceful,No,A lot,No,Yes,The lover's should be like that,Fairly important,A lot,Yes,Yes,Yes,Yes,Yes,Agra,Yes,All wonders are happen at there,There was 12 images,Active member,Museum,Quite a bit,8,Yes,By preparing album of that place,The website should keep the contain understand to everyone easily
Female,50-59,Data Quality Analyst,home,Very strong,I sense of connection and belonging.  I love it  and  feel  safe,There's no place like home,No,A lot,Yes,No,I  am very proud of my home we all work  very had to keep it nice,Not important,Quite a bit,No,No,No,No,No,Airport Museum Rocket,No,IT is the only one in town,Nice  summer nights are my  favorite   after it  cools  down,Not a member,keep  the  community  safe,Not really,8,No,I  do  not  record them i just share them with  my family,"Just a page to  write   about your home , where it is   and  things you like most about it"
Male,40-49,optician,jamaica,Fairly strong,"relaxing, calm feelings",I loved the experience every time I have been there,No,Not really,No,Yes,happy,Fairly important,Not really,Yes,Yes,Yes,Yes,No,negril,Yes,its resorts,"it is day time, sitting by the pool or on the beach with a book, and a rum drink in my hand. the images are very clear",Not a member,I dont know,A lot,8,Yes,i show pics as a screen saver  on my computers,lots of pictures and videos
Female,21-29,Lead Teacher,Indiana,Very strong,"Security, pride, sense of belonging, happiness",It is the place that most defines me,Yes,Quite a bit,Yes,Sometimes,"proud, happy, secure",Fairly important,Quite a bit,Sometimes,No,Yes,Sometimes,Sometimes,The monument on the circle in Indianapolis,No,"It's a common landmark that is associated with Indiana's capitol, which is in central Indiana, where I live and grew up.","The image that popped in my mind was just the monument by itself. The weather was sunny and warm, making the season anywhere from spring to fall. I pictured it during the day and the image was pretty clear. Just one image appeared in my mind.",Occasional member,,Quite a bit,8,No,I don't.,"Picture and video capability including allowing users to upload pics and vids. List of the attractions and state parks. A social networking such as commenting or a community board. Links to small, local business's websites."
Female,40-49,Registered Nurse,New Hampshire,Very strong,"Very good feelings, feelings of nostalgia",I was born and raised there and love the whole state.,Yes,A lot,No,Yes,"Very nostalgic and missing it very much. I still have a lot of family and friends there, and I find myself comparing everywhere I go to NH.",Fairly important,Not really,Yes,No,Yes,Sometimes,Sometimes,"The whole town of Hancock, which is very historic to New England.",Yes,It is the town I grew up in.,"Very clear images of a summer day, during Old Home Days. I can see it all very clearly, along with my friends and family.",Occasional member,"There are many community groups, some for socializing, others for historic reasons.",A lot,8,Yes,Lots of pictures and having friends on social networks from there. I also subscribe to the local paper there.,Lots of wonderful pictures and the historic significance of the whole town and area.
Female,21-29,Youth Services Librarian,My hometown,Fairly strong,"Positive, yearning emotions.",It was my favorite place.,Yes,Quite a bit,No,Yes,Happy,Fairly important,Not really,No,No,No,Yes,No,My home growing up.,No,It was very important to me.,"A summer day, when I was about 10, swimming in my pool, it is a very vivid image.",Not a member,,Quite a bit,8,No,I do not.,"It would need a history, blog, photos."
Male,21-29,program analyst,beach,Very strong,happiness,the sound of the beach and the long blue sky makes me feel happy,No,A lot,No,Yes,very happy,Very important,A lot,Yes,Yes,Yes,Yes,No,light house,Yes,very near from my home,"winter season, dusk, vivid, just 1",Not a member,cleaning the beach and make it free from plastics,A lot,8,Yes,photograph share in facebook,"photographs of the place, history, regular activities of the community"
Female,21-29,research assistant,parent's house,Very strong,I feel nostalgia and fondness.  It makes me feel warm and loved.,I grew up there.,Yes,Quite a bit,Yes,Sometimes,I feel proud to tell stories about growing up there.,Occasionally,Not really,No,Sometimes,Sometimes,No,No,the persimmon tree in the front yard,No,I grew up eating the fruit on the tree.,I think of the summertime when I spend time in the front yard and running around with my dog.  it's the only image that comes to mind right away.,Not a member,,No,8,No,Take pictures from time to time.,It should have images and reviews of the people who live or have lived there.
Male,40-49,videographer,anchorage,Fairly strong,mixed ones that leap all over the place,thinking about it makes me remember what I felt while I lived there,No,Not really,No,Yes,interesting,Fairly important,Not really,Sometimes,No,Sometimes,Sometimes,Sometimes,the highway running down Turnagin Arm,Yes,it's awe inspiring,"it's sunny and clear, you can see for hundreds of miles, lot's of mountains and the sea.",Not a member,no,A lot,8,Yes,I have pictures,pictures
Male,30-39,shift supervisor,adrian MI,Very strong,happiness,there all the time,Yes,Quite a bit,Yes,Yes,proud,Fairly important,Quite a bit,Yes,No,Yes,Yes,No,statute,Yes,proud of it,nice summer day.,Active member,charity,Quite a bit,8,Yes,facebook,video
Female,30-39,Enrollment Specialist,Home,Fairly strong,Love and Security,Because my home holds a lot of memories,No,Quite a bit,Yes,Sometimes,good,Not important,Not really,No,No,Sometimes,No,No,no,No,I did not chose a particular area or landmark,I thought about winter time because I like having my family over for Thanksgiving and Christmas,Active member,Neighborhood watch,Not really,8,No,I donlt,Photos
Male,21-29,software developer,saudi arabia,Very strong,homely feeling,i was born there,Yes,A lot,No,Yes,i feel happy.,Fairly important,Not really,Yes,Sometimes,Yes,Sometimes,Sometimes,no,No,it is where i was born.,"spring,night,cool climate,vivid,many images",Not a member,wlefare group,Not really,8,Sometimes,"photos,videos",many photos and history stories
Male,21-29,Customer Service Representative,Home,Fairly strong,"Happiness, comfort, relaxation, content.",Because it is where I am the happiest.,No,A lot,Yes,Sometimes,Proud and successful.,Occasionally,Not really,No,No,Sometimes,No,No,No.,No,Because it is where I am happiest.,It is fall and it is nice and cool outside. I am inside watching football and enjoying the time to myself. It is day time on a Sunday. The image is vivid. One image appeared in my mind.,Not a member,No community groups.,Not really,8,No,None.,"It would need to have great photos of the place, include good memories that took place here and make it welcoming."
